성별코드,만연령,만연령_제곱,교육정도_학력구분코드,교육정도_계열코드,혼인상태코드,연령_20대초반,연령_20대후반,연령_30대초반,연령_30대후반,여성기혼,남성미혼,여성미혼,고졸이하,전문대졸,대졸이상,이공계,인문사회,직업교육및직장체험_취업관련시험준비분야코드,연령계층코드,직업교육및직장체험_직업교육수혜구분코드,출생연도,가구주관계코드,가장최근학교_졸업및중퇴연월,가장최근학교_입학및편입연월,직업교육및직장체험_재학휴학중직장체험여부,가장최근학교_년제수,가장최근학교_편입경험유무,직업교육및직장체험_취업관련시험준비여부,최근직장_전공관련성코드,가장최근학교_휴학경험유무,조사연월,연령대,진성쉬었음,취업여부,취업예측확률,단절위험_환경평균,정책유형,재연결지수,지원필요도점수
1,39,1521,5,70,2,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,1983,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.9780817898975388,0.05220923441143611,안정군,0.969,0.0431
2,25,625,5,22,1,0,1,0,0,0,0,1,0,0,1,0,1,8,3,2,1996,3,0,201603,1,0,0,1,0,0,202105,25-29,0,0,0.23421648638868828,0.16095345897786528,고착형 단절 위험군,0.416,0.3424
2,29,841,5,70,2,0,1,0,0,1,0,0,0,0,1,1,0,0,3,1,1993,2,201502,201103,1,4,2,2,3,2,202305,25-29,0,1,0.7407592007040277,0.15422315360960995,안정군,0.772,0.1857
1,30,900,7,40,1,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,1990,3,0,202103,2,0,0,2,0,0,202105,30-34,0,1,0.2602258607795985,0.05925964304922146,취업취약 비단절군,0.464,0.2634
1,30,900,5,21,2,0,0,1,0,0,0,0,0,0,1,0,0,0,4,1,1993,1,201503,201203,1,0,0,2,1,0,202305,30-34,0,1,0.9616040548885154,0.058942503480726716,안정군,0.955,0.0528
2,38,1444,5,10,2,0,0,0,1,1,0,0,0,0,1,0,0,0,5,0,1983,2,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.5958721642994972,0.31144141770894623,고착형 단절 위험군,0.624,0.3392
1,27,729,3,1,1,0,1,0,0,0,1,0,1,0,0,0,1,0,3,1,1995,3,201402,201103,2,3,2,2,1,2,202305,25-29,0,1,0.7781308902713554,0.12123110098163072,안정군,0.808,0.1514
1,23,529,5,40,1,1,0,0,0,0,1,0,0,0,1,0,1,6,2,2,1998,3,0,202103,2,0,0,1,0,0,202205,20-24,0,0,0.05100956034316131,0.4803533520422679,취업취약 비단절군,0.192,0.6209
1,35,1225,5,70,2,0,0,0,1,0,0,0,0,0,1,1,0,0,5,0,1986,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.9780817898975388,0.05014325784812647,안정군,0.97,0.0417
2,34,1156,3,1,2,0,0,1,0,1,0,0,1,0,0,0,1,0,4,1,1986,2,200502,200203,2,3,2,2,1,2,202105,30-34,0,1,0.522515455304929,0.24230136139123576,고착형 단절 위험군,0.593,0.3129
1,38,1444,3,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,1983,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.9578250510339315,0.05014325784812647,안정군,0.955,0.0478
1,38,1444,5,22,1,0,0,0,1,0,1,0,0,0,1,0,1,0,5,0,1985,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.878978989130112,0.05220923441143611,안정군,0.9,0.0729
2,34,1156,4,92,2,0,0,1,0,1,0,0,0,1,0,0,0,0,4,1,1988,2,200902,200703,2,2,2,2,3,2,202305,30-34,0,1,0.5285444905603794,0.22887157543852418,취업취약 비단절군,0.601,0.3016
1,23,529,5,50,1,1,0,0,0,0,1,0,0,0,1,1,0,0,2,1,1999,3,0,201803,1,0,0,2,0,0,202305,20-24,0,0,0.38377389486260455,0.492572976263481,재연결 가능 단절군,0.421,0.5297
1,35,1225,3,3,2,0,0,0,1,0,0,0,1,0,0,1,0,0,5,0,1986,1,0,0,0,0,0,0,0,0,202105,35-39,0,1,0.9662091016706622,0.04956351335007309,안정군,0.961,0.0448
2,32,1024,5,22,1,0,0,1,0,0,0,1,0,0,1,0,1,0,4,1,1990,1,200807,200803,2,0,0,2,3,0,202205,30-34,0,1,0.8775631364910258,0.2345583864473848,재연결 가능 단절군,0.844,0.2009
2,22,484,3,1,1,1,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1999,3,201802,201503,2,3,2,2,3,2,202205,20-24,0,1,0.8371540732205128,0.38198034766775535,안정군,0.771,0.3162
1,28,784,5,70,1,0,1,0,0,0,1,0,0,0,1,1,0,0,3,1,1994,1,202002,201403,2,4,2,2,1,1,202205,25-29,0,1,0.9543213083997539,0.12326704184888362,안정군,0.931,0.1
1,24,576,5,70,1,1,0,0,0,0,1,0,0,0,1,1,0,6,2,1,1998,3,202102,201703,1,4,2,1,0,2,202305,20-24,0,0,0.0,0.492572976263481,고착형 단절 위험군,0.152,0.6448
1,35,1225,1,0,2,0,0,0,1,0,0,0,1,0,0,0,0,0,5,0,1986,1,0,0,0,0,0,0,0,0,202205,35-39,0,1,0.8970750398585841,0.05014325784812647,안정군,0.913,0.066
2,35,1225,5,50,2,0,0,0,1,1,0,0,0,0,1,1,0,0,5,0,1986,2,0,0,0,0,0,0,0,0,202105,35-39,0,0,0.5693863338978625,0.31559084187742065,고착형 단절 위험군,0.604,0.3501
1,31,961,5,30,1,0,0,1,0,0,1,0,0,0,1,0,1,0,4,1,1991,3,201602,201003,1,4,2,2,4,1,202205,30-34,0,1,0.9504654381697314,0.05785455694967152,안정군,0.948,0.0554
1,36,1296,3,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,5,0,1986,1,0,0,0,0,0,0,0,0,202305,35-39,0,1,0.9578250510339315,0.05220923441143611,안정군,0.955,0.0492
1,26,676,5,30,1,0,1,0,0,0,1,0,0,0,1,0,1,6,3,1,1997,3,202202,201603,2,4,2,1,0,1,202305,25-29,1,0,0.0,0.12123110098163072,취업취약 비단절군,0.264,0.3849
2,35,1225,5,91,3,0,0,0,1,0,0,0,0,0,1,0,0,0,5,0,1985,1,0,0,0,0,0,0,0,0,202105,35-39,0,1,0.8012056691428984,0.31559084187742065,재연결 가능 단절군,0.766,0.2806
2,21,441,5,70,1,1,0,0,0,0,0,1,0,0,1,1,0,0,2,2,1999,3,0,201803,1,0,0,2,0,0,202105,20-24,0,1,0.4799105215771882,0.3957577582143863,안정군,0.517,0.4331
2,29,841,5,91,1,0,1,0,0,0,0,1,0,0,1,0,0,0,3,1,1993,1,201602,201203,1,4,2,2,4,2,202305,25-29,0,1,0.9623729400913628,0.15422315360960995,안정군,0.927,0.1192
1,25,625,3,3,1,0,1,0,0,0,1,0,1,0,0,1,0,0,3,1,1995,1,201402,201103,2,3,2,2,1,2,202105,25-29,0,1,0.8716348047392332,0.1237875978263681,안정군,0.873,0.1252
1,29,841,3,3,2,0,1,0,0,0,0,0,1,0,0,1,0,0,3,1,1991,1,201002,200703,2,3,2,2,1,2,202105,25-29,0,1,0.9405872054006285,0.1237875978263681,안정군,0.921,0.1045
2,26,676,5,100,2,0,1,0,0,1,0,0,0,0,1,0,0,7,3,2,1996,1,201902,201503,1,4,2,1,4,2,202305,25-29,0,1,0.5605655711680324,0.15422315360960995,취업취약 비단절군,0.646,0.2398
2,30,900,6,60,1,0,0,1,0,0,0,1,0,0,1,1,0,0,4,1,1992,1,202302,201609,1,0,0,2,3,0,202305,30-34,0,1,0.9833207439805657,0.22887157543852418,안정군,0.92,0.1652
1,32,1024,5,21,1,0,0,1,0,0,1,0,0,0,1,0,0,0,4,1,1988,1,201502,200803,1,4,2,2,4,1,202105,30-34,0,1,0.9769180207223714,0.05925964304922146,안정군,0.966,0.0484
1,37,1369,4,40,2,0,0,0,1,0,0,0,0,1,0,0,1,0,5,0,1984,1,0,0,0,0,0,0,0,0,202105,35-39,0,1,0.9670803370838822,0.04956351335007309,안정군,0.962,0.0446
